delay,condition,display_text.started,,,,,
0,exp,49.1511235,,,,,
0.1,unexp,63.8509857,,,,,
0.1,exp,73.2008763,,,,,
0.1,unexp,81.9334999,,,,,
0.1,unexp,91.2828846,,,,,
0.1,exp,101.7824541,,,,,
0.1,exp,110.9153021,,,,,
0.1,unexp,119.7320092,,,,,
0.1,exp,138.6980978,,,,,
0.1,unexp,148.1484994,,,,,
0.1,exp,157.9148612,,,,,
0.1,exp,167.3306534,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,185.6801566,,,,,
0.1,unexp,205.7297364,,,,,
0.1,exp,217.0625668,,,,,
0.1,unexp,238.6120205,,,,,
0.1,unexp,247.4619096,,,,,
0.1,exp,257.1282552,,,,,
0.1,unexp,268.7609575,,,,,
0.1,unexp,277.5940829,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,298.5268968,,,,,
0.1,unexp,307.8602186,,,,,
0.1,unexp,317.7762649,,,,,
0.1,exp,326.7262362,,,,,
0.1,unexp,337.1927505,,,,,
0.1,exp,345.7423456,,,,,
0.1,exp,355.4423388,,,,,
0.1,exp,366.5917305,,,,,
0.1,exp,375.7247477,,,,,
0.1,unexp,384.0746758,,,,,
0.1,unexp,395.3740949,,,,,
0.1,unexp,404.7575335,,,,,
0.1,exp,413.623563,,,,,
0.1,exp,422.639929,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,366.5917305,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,167.3306534,,,,,
0.1,exp,49.1511235,,,,,
0.1,unexp,63.8509857,,,,,
0.1,exp,73.2008763,,,,,
0.1,unexp,81.9334999,,,,,
0.1,unexp,91.2828846,,,,,
0.1,exp,101.7824541,,,,,
0.1,exp,110.9153021,,,,,
0.1,unexp,119.7320092,,,,,
0.1,exp,138.6980978,,,,,
0.1,unexp,148.1484994,,,,,
0.1,exp,157.9148612,,,,,
0.1,exp,167.3306534,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,185.6801566,,,,,
0.1,unexp,205.7297364,,,,,
0.1,exp,217.0625668,,,,,
0.1,unexp,238.6120205,,,,,
0.1,unexp,247.4619096,,,,,
0.1,exp,257.1282552,,,,,
0.1,unexp,268.7609575,,,,,
0.1,unexp,277.5940829,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,298.5268968,,,,,
0.1,unexp,307.8602186,,,,,
0.1,unexp,317.7762649,,,,,
0.1,exp,326.7262362,,,,,
0.1,unexp,337.1927505,,,,,
0.1,exp,345.7423456,,,,,
0.1,exp,355.4423388,,,,,
0.1,exp,366.5917305,,,,,
0.1,exp,375.7247477,,,,,
0.1,unexp,384.0746758,,,,,
0.1,unexp,395.3740949,,,,,
0.1,unexp,404.7575335,,,,,
0.1,exp,413.623563,,,,,
0.1,exp,422.639929,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,366.5917305,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,167.3306534,,,,,
0.1,exp,49.1511235,,,,,
0.1,unexp,63.8509857,,,,,
0.1,exp,73.2008763,,,,,
0.1,unexp,81.9334999,,,,,
0.1,unexp,91.2828846,,,,,
0.1,exp,101.7824541,,,,,
0.1,exp,110.9153021,,,,,
0.1,unexp,119.7320092,,,,,
0.1,exp,138.6980978,,,,,
0.1,unexp,148.1484994,,,,,
0.1,exp,157.9148612,,,,,
0.1,exp,167.3306534,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,185.6801566,,,,,
0.1,unexp,205.7297364,,,,,
0.1,exp,217.0625668,,,,,
0.1,unexp,238.6120205,,,,,
0.1,unexp,247.4619096,,,,,
0.1,exp,257.1282552,,,,,
0.1,unexp,268.7609575,,,,,
0.1,unexp,277.5940829,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,298.5268968,,,,,
0.1,unexp,307.8602186,,,,,
0.1,unexp,317.7762649,,,,,
0.1,exp,326.7262362,,,,,
0.1,unexp,337.1927505,,,,,
0.1,exp,345.7423456,,,,,
0.1,exp,355.4423388,,,,,
0.1,exp,366.5917305,,,,,
0.1,exp,375.7247477,,,,,
0.1,unexp,384.0746758,,,,,
0.1,unexp,395.3740949,,,,,
0.1,unexp,404.7575335,,,,,
0.1,exp,413.623563,,,,,
0.1,exp,422.639929,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,366.5917305,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,167.3306534,,,,,
0.1,exp,49.1511235,,,,,
0.1,unexp,63.8509857,,,,,
0.1,exp,73.2008763,,,,,
0.1,unexp,81.9334999,,,,,
0.1,unexp,91.2828846,,,,,
0.1,exp,101.7824541,,,,,
0.1,exp,110.9153021,,,,,
0.1,unexp,119.7320092,,,,,
0.1,exp,138.6980978,,,,,
0.1,unexp,148.1484994,,,,,
0.1,exp,157.9148612,,,,,
0.1,exp,167.3306534,,,,,
0.1,unexp,176.9472134,,,,,
0.1,exp,185.6801566,,,,,
0.1,unexp,205.7297364,,,,,
0.1,exp,217.0625668,,,,,
0.1,unexp,238.6120205,,,,,
0.1,unexp,247.4619096,,,,,
0.1,exp,257.1282552,,,,,
0.1,unexp,268.7609575,,,,,
0.1,unexp,277.5940829,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,298.5268968,,,,,
0.1,unexp,307.8602186,,,,,
0.1,unexp,317.7762649,,,,,
0.1,exp,326.7262362,,,,,
0.1,unexp,337.1927505,,,,,
0.1,exp,345.7423456,,,,,
0.1,exp,355.4423388,,,,,
0.1,exp,366.5917305,,,,,
0.1,exp,375.7247477,,,,,
0.1,unexp,384.0746758,,,,,
0.1,unexp,395.3740949,,,,,
0.1,unexp,404.7575335,,,,,
0.1,exp,413.623563,,,,,
0.1,exp,422.639929,,,,,
0.1,unexp,287.2439767,,,,,
0.1,exp,366.5917305,,,,,
0.1,unexp,176.9472134,,,,,
